city,day_type,room_type,listing_count,avg_price,median_price,std_price,p10_price,p90_price,avg_satisfaction,avg_cleanliness,avg_dist,avg_metro_dist,avg_capacity,superhost_rate,log_demand
lisbon,weekend,Shared room,39,103.46610862558325,95.91932457786116,30.520585704719476,77.62664165103189,155.95684803001876,85.51282051282051,8.794871794871796,2.348442480329921,0.3085668509331052,4.410256410256411,0.1794871794871795,3.6888794541139363
lisbon,weekday,Entire home/apt,1928,280.0795816368634,255.62851782363975,101.83372316938856,189.25891181988743,403.37711069418384,91.600622406639,9.429460580912863,1.7529732984455928,0.7608926424798456,3.8895228215767634,0.23236514522821577,7.564757012905729
lisbon,weekday,Private room,894,147.26407234387258,136.02251407129455,49.406255288709254,99.671669793621,208.95872420262663,90.10178970917227,9.24496644295302,2.3814926978542323,0.5885739124631358,2.1968680089485457,0.17337807606263983,6.796823718274855
lisbon,weekday,Shared room,35,102.61324041811845,93.80863039399624,28.794478204353986,77.86116322701689,147.2795497185741,84.74285714285715,8.685714285714285,2.693411431522383,0.47227470772636715,4.6571428571428575,0.2,3.58351893845611
berlin,weekday,Private room,775,176.21974204404611,156.58595868000373,108.21383184589648,111.24614377862952,254.97803122370755,94.76129032258065,9.495483870967742,5.440452922519622,0.8246017715433777,2.367741935483871,0.2903225806451613,6.654152520183219
berlin,weekday,Shared room,35,143.63172585103968,143.73188744507806,56.11441096217266,86.9402636253155,157.52080022436195,90.08571428571429,8.942857142857143,3.798466679304346,0.7100795358352132,4.2,0.08571428571428572,3.58351893845611
berlin,weekday,Entire home/apt,474,351.99495974461877,289.8008787510517,323.38358060875123,185.5660465551089,545.0126203608488,93.85443037974683,9.481012658227849,5.084715360939372,0.8694776354456287,3.4029535864978904,0.24050632911392406,6.163314804034641
barcelona,weekend,Shared room,4,142.60944445737425,138.9438406218726,26.24349833132713,108.68806293201759,171.2942490748714,91.25,9.25,4.149206956737229,0.6591058072877385,3.0,0.25,1.6094379124341003
barcelona,weekend,Private room,1094,227.66887678648553,190.84413619754693,129.23331243398738,127.30700304885143,370.2841715735331,91.5054844606947,9.29890310786106,2.1654711442674413,0.4499530256228299,2.1956124314442413,0.1846435100548446,6.9985096422506015
barcelona,weekend,Entire home/apt,180,745.0834361253981,532.0362138385271,877.0900248542099,373.7752228454395,958.1772057625619,90.25,9.3,1.7743445278393024,0.438552782837048,3.9611111111111112,0.16666666666666666,5.198497031265826
